Kleidung:
eaglkes_wwi_fr_pilot_cloth; (brauner Ganzkörperanzug mit weißem Schall)
eaglkes_wwi_ger_pilot_cloth; (grauer Ganzkörperanzug mit weißerm Schall)
rds_uniform_priest; (Priesterkleidung)
rds_uniform_Profiteer1; (Joggingshose mit grauer Strickjacke)
rds_uniform_Profiteer2; (Joggingshose mit blauer Strickjacke)
rds_uniform_Profiteer3; (Joggingshose mit brauner Strickjacke)
rds_uniform_Profiteer4; (Joggingshose mit orangkarierter Strickjacke)
sab_SikorskyS38_Man_Shirt; (graues T-Shirt mit beiger Hose)
rds_uniform_schoolteacher; (langer blauer Mantel mit schwarzer Hose)
rds_uniform_Villager1; (Holzfäller Hemd mit blauer Hose)
rds_uniform_Villager2; (gelbes Holzfäller Hemd mit blauer Hose)
rds_uniform_Villager3; (grünes Holzfäller Hemd mit brauner Hose)
rds_uniform_Villager4; (weißes Holzfäller Hemd mit beiger Hose)
rds_uniform_Woodlander1; (osteuropäischer Stile)
rds_uniform_Woodlander2; (")
rds_uniform_Woodlander3; (")
rds_uniform_Woodlander4; (")
rds_uniform_Worker1; (Leiharbeiter Kleidung)
rds_uniform_Worker2; (")
rds_uniform_Worker3; (")
rds_uniform_Worker4; (")
TRYK_B_TRYK_3C_T    T-Shirt hose mit wüstentan
TRYK_HRP_khk						pilotenoverrall braun
TRYK_OVERALL_SAGE_BLKboots_nk_blk2	grün overrall / handschuhe schwarz
TRYK_OVERALL_nok_flesh				braun overrall
TRYK_OVERALL_SAGE_BLKboots_nk		grün overrall
TRYK_OVERALL_SAGE_BLKboots_nk_blk	grün overrall / schwarz handschuhe
TRYK_OVERALL_flesh					braun overrall / knieschoner
TRYK_OVERALL_SAGE					grün overrall / knieschoner
TRYK_OVERALL_SAGE_BLKboots			grün overrall / knieschoner /schwarz schuhe
TRYK_B_TRYK_MTP_T					grün t-shirt / mtp hose / schwarz handschuhe protektoren
TRYK_U_B_MTP_BLK_CombatUniform		mtp hose / schwarz jacke / schwarz handschuhe protektoren
TRYK_U_B_MTP_BLK_R_CombatUniform	mtp hose / schwarz jacke / kurz arme / braun handschuhe protektoren
TRYK_U_B_OD_OD_CombatUniform		grün hose / grün t-shirt / handschuhe schwarz
TRYK_U_B_OD_OD_R_CombatUniform		grün hose / grün t-shirt / kurz arme / schwarz handschuhe
TRYK_U_Bts_PCUs						mtp hose / knieschoner / schwarz jacke / braun handschuhe protektoren / kaputze
TRYK_U_Bts_PCUGs					mtp hose / knieschoner / graue jacke / braun handschuhe protektoren / kaputze
TRYK_U_Bts_GRYGRY_PCUs				graue hose / graue jacke / braun handschuhe protektoren / kaputze
TRYK_U_Bts_Wood_PCUs				woodland hose / graue jacke / kaputze / braun handschuhe protektoren
TRYK_U_Bts_PCUODs					hose mtp / knieschoner / grüne jacke / braun handschuhe protektoren / kaputze
TRYK_U_B_PCUHs						hose mtp / knieschoner / schwarz jacke / aufgestzte kaputze /schwarz handschuhe
TRYK_U_B_PCUGHs						hose mtp / knieschoner / graue jacke / aufgestzte kaputze / schwarz handschuhe
TRYK_U_B_PCUODHs					hose mtp / knieschoner / grün jacke / aufgestzte kaputze / schwarz handschuhe
TRYK_U_B_PCUGs_BLK_R				graue jeans / graue jacke / kurze arme / kaputze / schwarz handschuhe
TRYK_U_B_PCUGs_gry_R				graue jeans / graue jacke / kurz arme / kaputze / schwarz handschuhe
TRYK_U_B_PCUGs_OD_R					graue jeans dreck / grün jacke / kurze arme / kaputze / schwarz handschuhe
TRYK_U_B_PCUs_R						hose mtp / knieschoner / schwarz jacke / kurz arme / schwarz handschuhe / kaputze
TRYK_U_B_PCUs						hose mtp / knieschoner / schwarz jacke / kaputze / schwarz handschuhe 
TRYK_U_B_PCUGs_BLK					hose jeans blau dreck / schwarz jacke / schwarz handschuhe / kaputze
TRYK_U_B_PCUGs						hose mtp / knieschoner / graue jacke / kaputze / schwarz handschuhe 
TRYK_U_B_PCUGs_gry					hose jeans dreck / jacke graue / kaputze / schwarz handschuhe
TRYK_U_B_GRY_PCUs_R					hose graue / knieschoner / holster / jacke graue / kurz arme / schwarz handschuhe / kaputze
TRYK_U_B_GRY_PCUs					hose graue / knieschoner 7 holster / jacke graue / kaputze / schwarz handschuhe /
TRYK_U_B_Wood_PCUs_R				hose woodland / knieschoner / holster / jacke graue / kurz arme / handschuhe schwarz / kaputze
TRYK_U_B_Wood_PCUs					hose woodland / knieschoner / holster / jacke graue / kaputze / handschuhe schwarz
TRYK_U_B_PCUODs						hose mtp / grün jacke / kaputze / handschuhe schwarz / knieschoner / holster
TRYK_U_B_PCUGs_OD					jeans blau dreck / grün jacke / kaputze / schwarz handschuhe / 
TRYK_U_B_AOR1_Rollup_CombatUniform	hose wüstentan / hemd blau / kurz arme / handschuhe braun protektoren
TRYK_U_B_AOR2_Rollup_CombatUniform	hose grünbrauntan / hemd blau / kurz arme / handschuhe schwarz  protektoren
TRYK_U_B_BLK_OD_Rollup_CombatUniform	hose grün / hemd blau / kurz arme / handschuhe braun protektoren
TRYK_U_B_BLK_tan_Rollup_CombatUniform	hose braun / hemd blau / kurz arme / handschuhe schwarz protektoren 
TRYK_U_B_wh_blk_Rollup_CombatUniform	hose schwarz / hemd weiß / kurz arme / handschuhe schwarz
TRYK_U_B_wh_OD_Rollup_CombatUniform		hose grün / hemd weiß / kurz arme / handschuhe schwarz 
TRYK_U_B_wh_tan_Rollup_CombatUniform	hose braun / hemd weiß / kurz / arme /handschuhe schwarz protektoren
TRYK_U_B_Sage_T							hose dreck / t-shirt grün / kurz arme / handschuhe schwarz protektoren
TRYK_shirts_DENIM_BK				jeans blau dreck / hemd schwarz / kurz arme / handschuhe schwarz
TRYK_shirts_DENIM_BL				jeans blau dreck / hemd blau kariert / kurz arme / handschuhe schwarz 
TRYK_shirts_DENIM_BWH				jeans blau dreck / hemd hell blau kariert / kurz arme / handschuhe schwarz
TRYK_shirts_DENIM_od				jeans blau / hemd gelb grün dreck / kurz arme / handschuhe schwarz
TRYK_shirts_DENIM_R					jeans blau / hemd rot kariert / kurz arme / handschuhe schwarz
TRYK_shirts_DENIM_RED2				jeans blau / hemd rot schwarz kariert / kurz arme / handschuhe schwarz
TRYK_shirts_DENIM_WH				jeans blau / hemd weiß / kurz arme / schwarz handschuhe 
TRYK_shirts_DENIM_WHB				jeans blau / hemd weiß blau dreck kariert / kurz arme / schwarz handschuhe 
TRYK_shirts_DENIM_ylb				jeans blau / hemd gelb kariert / kurz arme / schwarz handschuhe
TRYK_shirts_DENIM_od_Sleeve			jeans blau / hemd grün dreck / handschuhe schwarz
TRYK_shirts_DENIM_ylb_Sleeve		jeans blau / hemd gelb dreck / schwarz handschuhe 
TRYK_shirts_DENIM_BK_Sleeve			jeans blau / hemd schwarz / handschuhe schwarz
TRYK_shirts_DENIM_BL_Sleeve			jeans blau / hemd blau kariert / handschuhe schwarz
TRYK_shirts_DENIM_BWH_Sleeve		jeans blau / hemd hell blau  kariert / handschuhe schwarz
TRYK_shirts_DENIM_R_Sleeve			jeans blau / hemd rot kariert / handschuhe schwarz /
TRYK_shirts_DENIM_RED2_Sleeve		jeans blau / hemd rot schwarz kariert / handschuhe schwarz 
TRYK_shirts_DENIM_WH_Sleeve			jeans blau / hemd weiß / handschuhe schwarz
TRYK_shirts_DENIM_WHB_Sleeve		jeans blau / hemd blau weiß kariert dreck / handschuhe schwarz
TRYK_shirts_PAD_BK					hose wüstentan / hemd schwarz / kurz arme / handschuhe schwarz / knieschoner
TRYK_shirts_BLK_PAD_BK				hose graue / knieschoner / hemd schwarz / kurz arme / handschuhe schwarz
TRYK_shirts_OD_PAD_BK				hose grün / knieschoner / hemd schwarz / kurz arme / handschuhe schwarz
TRYK_shirts_TAN_PAD_BK				hose braun / knieschoner / hemd schwarz / kurz arme / handschuhe schwarz 
TRYK_shirts_PAD_BL					hose wüstentan / hemd blau / kurz arme / handschuhe schwarz
TRYK_shirts_BLK_PAD_BL				hose schwarz / hemd blau kariert / kurz arme / handschuhe schwarz
TRYK_shirts_OD_PAD_BL				hose grün / hemd blau kariert / kurz arme / handschuhe / knieschoner
TRYK_shirts_TAN_PAD_BL				hose braun / hemd blau kariert / kurze arme /handschuhe schwarz
TRYK_shirts_PAD_BLW					hose braun / knieschoner / hemd blau weiß kariert / kurz arme / handschuhe schwarz
TRYK_shirts_BLK_PAD_BLW				hose schwarz / knieschoner / hemd blau weiß kariert dreck / kurz arme / handschuhe schwarz
TRYK_shirts_TAN_PAD_BLW				hose braun / knieschoner / hemd blau weiß kariert dreck / kurz arme / handschuhe schwarz 
TRYK_shirts_PAD_BLU3				hose wüstentan / knieschoner / hemd blau hell kariert / kurz arme / handschuhe schwarz
TRYK_shirts_BLK_PAD_BLU3			hose schwarz / knieschoner / hemd blau kariert / kurz arme / handschuhe schwarz
TRYK_shirts_OD_PAD_BLU3				hose grün / knieschoner / hemd hell blau kariert / kurz arme / handschuhe schwarz
TRYK_shirts_TAN_PAD_BLU3			hose braun / knieschoner / hemd hell blau kariert / kurz arme / handschuhe schwarz
TRYK_shirts_PAD						hose wüstentan / knieschoner / hemd rot kariert / kurz arme / handschuhe schwarz
TRYK_shirts_BLK_PAD					hose schwarz / knieschoner / hemd rot kariert / kurz arme / handschuhe schwarz
TRYK_shirts_OD_PAD					hose grün / knieschoner / hemd rot kariert / kurz arme / handschuhe schwarz
TRYK_shirts_TAN_PAD					hose braun / knieschoner / hemd rot kariert / kurz arme / handschuhe schwarz
TRYK_shirts_PAD_RED2				hose wüstentan / hemd rot schwarz kariert / kurz arme / handschuhe schwarz
TRYK_shirts_BLK_PAD_RED2			hose schwarz / knieschoner / hemd rot schwarz kariert / kurz arme / handschuhe schwarz
TRYK_shirts_OD_PAD_RED2				hose grün / hemd rot schwarz kariert / kurz arme / handschuhe schwarz / knieschoner
TRYK_shirts_TAN_PAD_RED2			hose braun / knieschoner / hemd rot schwarz kariert / kurz arme / handschuhe schwarz
TRYK_shirts_PAD_YEL					hose wüstentan / knieschoner / hemd gelb kariert dreck / kurz arme / handschuhe schwarz 
TRYK_shirts_BLK_PAD_YEL				hose schwarz /  knieschoner / hemd gelb kariert / kurz arme / handschuhe schwarz 
TRYK_shirts_OD_PAD_YEL				hose grün / knieschoner / hemd gelb kariert / kurz arme / handschuhe schwarz
TRYK_shirts_TAN_PAD_YEL				hose braun / knieschoner / hemd gelb kariert / kurz arme / handschuhe schwarz 
TRYK_U_B_Snow_CombatUniform			allles schnee tan (t-shirt)
TRYK_U_B_Snowt						alles schnee tan jacke
TRYK_T_PAD							hose wüstentan / t-shirt braun / kurz arme / knieschoner / handschuhe schwarz beschriftet
TRYK_U_pad_hood_CSATBlk				hose csat / knieschoner / jacke schwarz / kaputze / handschuhe schwarz 
TRYK_U_pad_hood_Blod				hose grün / knieschoner / jacke schwarz / kaputze / handschuhe schwarz
TRYK_U_pad_hood_Cl_blk				hose braun / knieschoner / jacke schwarz / kaputze / handschuhe schwarz
TRYK_U_pad_hood_BKT2				hose grünbrauntan / knieschoner /jacke schwarz / kaputze / handschuhe schwarz
TRYK_U_nohoodPcu_gry				hose ucp / knieschoner / jacke grau / kaputze / handschuhe schwarz
TRYK_U_pad_hood_odBK				hose schwarz / knieschoner / jacke grün / kaputze / handschuhe schwarz 
TRYK_U_pad_hood_tan					hose wüstentan / knieschoner / jacke grün / kaputze / handschuhe schwarz
TRYK_U_pad_hood_Cl					hose braun / knieschoner / jacke grün / kaputze / handschuhe schwarz
TRYK_hoodie_3c						hose wüstentan / knieschoner / jacke schwarz / kaputze / handschuhe schwarz
TRYK_hoodie_FR						hose grünbrauntan / knieschoner / jacke schwarze / kaputze / handschuhe schwarz
TRYK_hoodie_Blk						hose mtp / knieschoner / holster / jacke schwarz / kaputze / handschuhe schwarz
TRYK_hoodie_Wood					hose woodland / knieschoner / holster / jacke schwarz / kaputze / handschuhe schwarz 
TRYK_U_hood_mc						hose wüstentan / knieschoner / jacke mtp / kaputze / handschuhe schwarz
TRYK_U_hood_nc						hose wüstentan / knieschoner / jacke grün / kaputze / handschuhe schwarz
TRYK_T_BLK_PAD						hose schwarz / knieschoner / t-shirt grau / kurz arme / handschuhe schwarz beschriftet
TRYK_T_CSAT_PAD						hose csat / knieschoner / t-shirt schwarz / kurz arme / handschuhe schwarz beschriftet
TRYK_T_OD_PAD						hose grün / knieschoner / t-shirt schwarz / kurz arme / handschuhe schwarz beschriftet 
TRYK_T_TAN_PAD						hose braun / knieschoner / t-shirt weiß / kurz arme / handschuhe schwarz beschriftet 
TRYK_T_T2_PAD						hose grünbrauntan / knieschoner / t-shirt schwarz / kurz arme / handschuhe schwarz beschriftet
TRYK_U_denim_hood_3c				jeans blau dreck / jacke wüstentan / kaputze / handschuhe schwarz
TRYK_U_denim_hood_blk				jeans blau dreck / jacke schwarz / kaputze / handschuhe schwarz
TRYK_U_denim_hood_mc				jeans blau dreck / jacke mtp / kaputze / handschuhe schwarz
TRYK_U_denim_hood_nc				jeans blau / jacke grün / kaputze / handschuhe
TRYK_U_denim_jersey_blk				jeans blau / trainjacke schwarz 
TRYK_U_denim_jersey_blu				jeans blau / trainjacke blau
TRYK_U_pad_j_blk					hose braun / knieschoner / trainjacke schwarz
TRYK_U_pad_j						hose wüstentan / knieschoner / trainjacke blau 
TRYK_U_taki_BL						taliban gewant
TRYK_U_taki_BLK						taliban gewant
TRYK_U_taki_COY						taliban gewant
TRYK_U_taki_wh						taliban gewant
TRYK_U_taki_G_BL					taliban gewant / handschuhe schwarz
TRYK_U_taki_G_BLK					taliban gewant / handschuhe schwarz
TRYK_U_taki_G_COY					taliban gewant / handschuhe schwarz 
TRYK_U_taki_G_WH					taliban gewant / handschuhe schwarz
TRYK_T_camo_3c_BG					hose wüstentan / knieschoner / t-shirt braun / kurz arme / handschuhe schwarz
TRYK_T_camo_desert_marpat_BG		hose wüstentan / knieschoner / t-shirt grau / kurz arme / handschuhe schwarz
TRYK_T_camo_Wood_BG					hose woodland / knieschoner / holster / t-shirt grau / kurz arme / handschuhe schwarz
TRYK_T_camo_wood_marpat_BG			hose grünbrauntan / knieschoner / holster / t-shirt schwarz / kurz arme / handschuhe schwarz 
TRYK_T_camo_3c						hose wüstentan / knieschoner / holster / t-shirt braun / kurz arme / handschuhe schwarz beschriftet 
TRYK_T_camo_Desert_marpat			hose wüstentan / knieschoner / t-shirt grau / kurz arme / handschuhe schwarz beschriftet / holster
TRYK_T_camo_tan						hose braun / knieschoner / holster / t-shirt weiß / kurz arme / handschuhe schwarz beschriftet 
TRYK_T_camo_Wood					hose woodland / knieschoner / t-shirt grau / arme kurz /handschuhe schwarz beschriftet
TRYK_T_camo_wood_marpat				hose grüntan / knieschoner / holster / t-shirt schwarz / kurz arme / handschuhe schwarz beschriftet
TRYK_SUITS_BLK_F					anzug schwarz
TRYK_SUITS_BR_F						anzug braun
TRYK_U_B_BLK_T_BG_BK				civ jeans schwarz / t-shirt schwarz / kurz arme / handschuhe schwarz 
TRYK_U_B_RED_T_BG_BR				civ jeans braun / t-shirt rot / kurz arme / handschuhe schwarz 
TRYK_U_B_BLK_T_BG_WH				civ jeans schwarz / t-shirt weiß / kurz arme / handschuhe schwarz 
TRYK_U_B_BLK_T_BK					civ jeans schwarz / t-shirt schwarz / kurz arme 
TRYK_U_B_RED_T_BR					civ jeans braun / t-shirt rot / kurz arme
TRYK_U_B_BLK_T_WH					civ jeans schwarz / t-shirt weiß / kurz arme / 
TRYK_U_B_Denim_T_BG_BK				civ jeans blau dreck / t-shirt schwarz / kurz arme / handschuhe schwarz
TRYK_U_B_Denim_T_BG_WH				civ jeans blau dreck / t-shirt weiß / kurz arme / handschuhe schwarz
TRYK_U_B_Denim_T_BK					civ jeans blau dreck / t-shirt schwarz / kurz arme 
TRYK_U_B_Denim_T_WH					civ jeans blau dreck / t-shirt weiß / kurz arme 
TRYK_ZARATAKI						taliban gewant muni
TRYK_ZARATAKI2						taliban gewant muni
TRYK_ZARATAKI3						taliban gewant muni 
TRYK_U_B_TANTAN_CombatUniform		hose braun / jacke braun 
TRYK_U_B_TANTAN_R_CombatUniform		hose braun / jacke braun / kurz arme 
TRYK_U_B_JSDF_CombatUniform			hose grünbrauntan / jacke grünbrauntan / japanflagge
TRYK_U_B_JSDF_CombatUniformTshirt	hose grünbrauntan / jacke grünbrauntan / japanflagge / kurz arme
TRYK_B_TRYK_UCP_T					hose ucp / t-shirt grau / kurz arme / handschuhe braun protektoren
TRYK_U_B_NATO_UCP_GRY_CombatUniform		hose ucp / jacke grau / handschuhe braun protektoren
TRYK_U_B_NATO_UCP_GRY_R_CombatUniform	hose ucp / jacke grau / kurz arme / handschuhe braun protektoren
TRYK_B_USMC_R						hose grünbrauntan / jacke grün / handschuhe schwarz protektoren
TRYK_B_USMC_R_ROLL					hose grünbrauntan / jacke grün / kurz arme / handschuhe schwarz protektoren
TRYK_U_B_PCUHsW4					schneetan / knieschoner / kaputze / handschuhe schnee
TRYK_U_B_PCUHsW						schneetan / knieschoner / aufgestzte kaputze / handschuhe schnee
TRYK_U_B_PCUHsW2					schneetan / knieschoner / aufgestzte kaputze / handschuhe schwarz
TRYK_U_B_PCUHsW5					schneetan / aufgestzte kaputze
TRYK_U_B_PCUHsW6					schneetan / kaputze
TRYK_U_B_Woodland					woodland / handschuhe schwarz protektoren
TRYK_U_B_Woodland_Tshirt			woodland / handschuhe schwarz protektoren / kurz arme
TRYK_U_B_WDL_GRY_CombatUniform		hose woodland / jacke grau / handschuhe schwarz protektoren
TRYK_U_B_WDL_GRY_R_CombatUniform	hose woodland / jacke grau / handschuhe schwarz protektoren / kurz arme
TRYK_U_B_Wood_T						hose woodland / t-shirt braun / kurz arme / handschuhe schwarz protektoren

Westen:
TRYK_V_Bulletproof_BL (blaue Weste)
TRYK_V_Bulletproof_BLK (schwarze Weste)
TRYK_V_Bulletproof (weiße Weste)
TRYK_V_ChestRig_L (Munitionsträger Plattengurt)
TRYK_V_ChestRig (Operator Plattengurt)
TRYK_V_harnes_blk_L (schwarze Grenadier Weste)
TRYK_V_harnes_od_L (grüne Grenadier Weste)
TRYK_V_harnes_TAN_L (Wüsten Grenadier Weste)
TRYK_Hrp_vest_od (grüne Pilotenweste)
TRYK_Hrp_vest_ucp (Urban Pilotenweste)
TRYK_V_IOTV_BLK (schwarze Schutzweste)
TRYK_V_PlateCarrier_JSDF (grüne Grenadier Weste)
TRYK_V_PlateCarrier_POLICE (grüne Polizei Weste)
TRYK_V_ArmorVest_Winter (Winter leichter Carrier)
TRYK_V_Sheriff_BA_TB (schwarze leichete Weste)
TRYK_V_Sheriff_BA_T (grüne ")
TRYK_V_Sheriff_BA_TB2 (schwarze Assault Weste)
TRYK_V_Sheriff_BA_T2 (grüne ")
TRYK_V_Sheriff_BA_TB3 (schwarze leiche CQB Weste)
TRYK_V_Sheriff_BA_T3 (grüne ")
TRYK_V_Sheriff_BA_TBL (schwarze schwere Operator Weste)
TRYK_V_Sheriff_BA_TCL (tan ")
TRYK_V_Sheriff_BA_TL (grüne ")
TRYK_V_Sheriff_BA_TBL2 (schwarz-tan Munitionsplattengurt)
TRYK_V_Sheriff_BA_TCL2 (tan ")
TRYK_V_Sheriff_BA_TL2 (grün-tan ")
TRYK_V_Sheriff_BA_TBL3_BK (schwerer schwarzer Plattengurt)
TRYK_V_Sheriff_BA_TBL3_TN (schwerer tan Plattengurt)
TRYK_V_Sheriff_BA_TBL3_OD (schwerer grüner Plattengurt)
TRYK_V_Sheriff_BA_TB4 (leichter schwarzer Medic-Plattengurt)
TRYK_V_Sheriff_BA_T4 (leichter grüner Medic-Plattengurt)
TRYK_V_Sheriff_BA_TB5 (leichter Munitionsrig in schwarz)
TRYK_V_Sheriff_BA_T5 (leichter Munitionsrig in grün)
TRYK_V_tacSVD_BK (leichte schwarze Weste)
TRYK_V_tacSVD_OD (leichte grüne Weste)
TRYK_V_tacv1M_BK (leichte schwarze Weste)
TRYK_V_tacv1LC_MSL_BK (schwere Polizeiweste in schwarz)
TRYK_V_tacv1LC_MSL_NV (schwere Polizeiweste in blau&schwarz)
TRYK_V_tacv1LMSL_BK (leichte Polizeiweste in schwarz)
TRYK_V_tacv1LMSL_NV (leichte Polizeiweste in blau&schwarz)
TRYK_V_tacv1_MSL_BK (leichte Polizeioperatorweste in schwarz)
TRYK_V_tacv1_MSL_NV (leichte           "          in blau&schwarz)
TRYK_V_tacv1LC_P2_BK (schwere SEK Weste)

Rucksäcke:
CUP_B_AlicePack_Khaki	alice pack / khaki
tf_anarc164				funke / flecktan
tf_anarc210				funke / mtp
tf_anprc155				funke / aaf tan
tf_anprc155_coyote		funke / coyote tan
tf_bussole				funke / russending
CUP_B_Bergen_BAF		rucksack / khaki
CUP_B_CivPack_WDL		rucksack / woodland
CUP_B_ACRPara_m95		rucksack groß / flecktan grau
CUP_B_ACRScout_m95 		rucksack klein / flecktan grau
CUP_B_GER_Pack_Flecktarn	rucksack / flecktan
CUP_B_GER_Pack_Tropentarn	rucksack / tropentan
CUP_B_HikingPack_Civ	rucksack / woodland
CUP_B_GER_Medic_Desert	rucksack / tropentan / medic
CUP_B_GER_Medic_FLecktarn	rucksack 7 flecktan / medic
CUP_B_SLA_Medicbag		umhängetasche / grün 
CUP_B_TK_Medic_Desert	rucksack / ucp / türkenflagge
CUP_B_GER_Medic_Tropentarn	rucksack / tropentan / medic
tf_mr3000				funke / csat
tf_mr3000_bwmod			funke / flecktan
tf_mr3000_bwmod_tropen	funke / tropentan
tf_mr3000_multicam		funke / multicam
tf_mr3000_rhs			funke / russentan
tf_mr6000l				funke / braun (hässlig)
CUP_B_RPGPack_Khaki		rucksack / rpg rucksack
tf_rt1523g				funke / klein / mtp
tf_rt1523g_big			funke / mtp
tf_rt1523g_big_bwmod	funke / flecktan
tf_rt1523g_big_bwmod_tropen	funke / tropentan
tf_rt1523g_big_rhs		funke / mtp
tf_rt1523g_black		funke / schwarz
tf_rt1523g_bwmod		funke / klein / tropentan
tf_rt1523g_fabric		funke / grün braun 
tf_rt1523g_green		funke / grau grün
tf_rt1523g_rhs			funke / klein / mtp
tf_rt1523g_sage			funke / khaki
ACE_TacticalLadder_Pack		Teleskopleiter
TRYK_B_Alicepack		alicepack / grün
TRYK_B_AssaultPack_MARPAT_Desert	rucksack / klein / wüstentan
TRYK_B_AssaultPack_MARPAT_Wood		rucksack / klein / waldtan
TRYK_B_AssaultPack_Type2camo		rucksack / klein / woodland
